,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Rice,29-07-2021,319.00,Metric Tonnes,3687.34,Rs./Quintal
Maharashtra,Cereals,Rice,30-07-2021,220.00,Metric Tonnes,3640.69,Rs./Quintal
Maharashtra,Cereals,Rice,31-07-2021,180.00,Metric Tonnes,3508.81,Rs./Quintal
Maharashtra,Cereals,Rice,01-08-2021,70.00,Metric Tonnes,3643.29,Rs./Quintal
Maharashtra,Cereals,Rice,02-08-2021,177.00,Metric Tonnes,3599.07,Rs./Quintal
Maharashtra,Cereals,Rice,03-08-2021,207.00,Metric Tonnes,3759.42,Rs./Quintal
Maharashtra,Cereals,Rice,04-08-2021,214.00,Metric Tonnes,3775.61,Rs./Quintal
Maharashtra,Cereals,Rice,05-08-2021,34.00,Metric Tonnes,3792.21,Rs./Quintal
Maharashtra,Cereals,Rice,06-08-2021,242.00,Metric Tonnes,3805.58,Rs./Quintal
Maharashtra,Cereals,Rice,07-08-2021,1746.00,Metric Tonnes,4821.87,Rs./Quintal
Maharashtra,Cereals,Rice,08-08-2021,3.00,Metric Tonnes,3133.33,Rs./Quintal
Maharashtra,Cereals,Rice,09-08-2021,207.00,Metric Tonnes,3768.55,Rs./Quintal
Maharashtra,Cereals,Rice,10-08-2021,2144.00,Metric Tonnes,4829.80,Rs./Quintal
Maharashtra,Cereals,Rice,11-08-2021,237.00,Metric Tonnes,3662.62,Rs./Quintal
Maharashtra,Cereals,Rice,12-08-2021,433.00,Metric Tonnes,3495.59,Rs./Quintal
Maharashtra,Cereals,Rice,13-08-2021,224.00,Metric Tonnes,3412.14,Rs./Quintal
Maharashtra,Cereals,Rice,14-08-2021,188.00,Metric Tonnes,3609.71,Rs./Quintal
Maharashtra,Cereals,Rice,15-08-2021,6.00,Metric Tonnes,4066.67,Rs./Quintal
Maharashtra,Cereals,Rice,16-08-2021,320.00,Metric Tonnes,2973.69,Rs./Quintal
Maharashtra,Cereals,Rice,17-08-2021,256.00,Metric Tonnes,3575.38,Rs./Quintal
Maharashtra,Cereals,Rice,18-08-2021,232.00,Metric Tonnes,3507.70,Rs./Quintal
Maharashtra,Cereals,Rice,19-08-2021,89.00,Metric Tonnes,3391.55,Rs./Quintal
Maharashtra,Cereals,Rice,20-08-2021,372.00,Metric Tonnes,3197.42,Rs./Quintal
Maharashtra,Cereals,Rice,21-08-2021,1385.00,Metric Tonnes,4566.95,Rs./Quintal
Maharashtra,Cereals,Rice,22-08-2021,39.00,Metric Tonnes,3952.69,Rs./Quintal
Maharashtra,Cereals,Rice,23-08-2021,271.00,Metric Tonnes,3425.17,Rs./Quintal
Maharashtra,Cereals,Rice,24-08-2021,223.00,Metric Tonnes,3595.20,Rs./Quintal
Maharashtra,Cereals,Rice,25-08-2021,205.00,Metric Tonnes,3500.29,Rs./Quintal
Maharashtra,Cereals,Rice,26-08-2021,422.00,Metric Tonnes,3583.04,Rs./Quintal
Maharashtra,Cereals,Rice,27-08-2021,244.00,Metric Tonnes,3725.92,Rs./Quintal
Maharashtra,Cereals,Rice,28-08-2021,209.00,Metric Tonnes,3663.66,Rs./Quintal
Maharashtra,Cereals,Rice,29-08-2021,2.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Cereals,Rice,30-08-2021,186.00,Metric Tonnes,3629.68,Rs./Quintal
Maharashtra,Cereals,Rice,31-08-2021,119.00,Metric Tonnes,3680.34,Rs./Quintal
Maharashtra,Cereals,Rice,01-09-2021,233.00,Metric Tonnes,3741.68,Rs./Quintal
Maharashtra,Cereals,Rice,02-09-2021,232.00,Metric Tonnes,3707.41,Rs./Quintal
Maharashtra,Cereals,Rice,03-09-2021,215.00,Metric Tonnes,3792.47,Rs./Quintal
Maharashtra,Cereals,Rice,04-09-2021,145.00,Metric Tonnes,3507.31,Rs./Quintal
Maharashtra,Cereals,Rice,05-09-2021,116.00,Metric Tonnes,2357.33,Rs./Quintal
Maharashtra,Cereals,Rice,06-09-2021,221.00,Metric Tonnes,3760.75,Rs./Quintal
Maharashtra,Cereals,Rice,07-09-2021,221.00,Metric Tonnes,3449.40,Rs./Quintal
Maharashtra,Cereals,Rice,08-09-2021,269.00,Metric Tonnes,3681.58,Rs./Quintal
